time;datacenter_id;datacenter_name;host_id;type;active;number_of_pes;available_pes;mips;available_mips;utilization_per_pe;dvfs_available;frequency_range;voltage_range;cpu_utilization;cpu_power;ram;allocated_ram;ram_power;bw;available_bw;storage;available_storage;power_model;vms
300.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
600.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
900.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
1200.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
1500.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
1800.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
2100.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
2400.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
2700.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
3000.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
3300.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
3600.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
3900.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
4200.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
4500.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
4800.01;3;Datacenter_1;0;host;true;2;1;5320;4492.917457706667;2660.0,1832.917457706667:2660.0,2660.0:;false;;0.8500-1.500;0.1554666432882205;99.21866573152882;4000;1733.0;8.295505919999998;10000;9959.0;146000;144000.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,394.03460741333333,850.0,20.0:2,433.04793488,883.0,21.0:
